序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category,权重,评价规则
453,80200,体育休闲服务,高尔夫相关,高尔夫相关,Sports & Recreation,Golf Related,Golf Related,0.7,高端生活
454,80201,体育休闲服务,高尔夫相关,高尔夫球场,Sports & Recreation,Golf Related,Golf Course,0.75,高端设施
455,80202,体育休闲服务,高尔夫相关,高尔夫练习场,Sports & Recreation,Golf Related,Golf Training Course,0.7,高端设施
456,80300,体育休闲服务,娱乐场所,娱乐场所,Sports & Recreation,Recreation Center,Recreation Center,0.7,品质生活
457,80301,体育休闲服务,娱乐场所,夜总会,Sports & Recreation,Recreation Center,Night Club,0.5,潜在噪音
458,80302,体育休闲服务,娱乐场所,KTV,Sports & Recreation,Recreation Center,KTV,0.6,潜在噪音
459,80303,体育休闲服务,娱乐场所,迪厅,Sports & Recreation,Recreation Center,Disco,0.4,噪音负面
460,80304,体育休闲服务,娱乐场所,酒吧,Sports & Recreation,Recreation Center,Pub,0.65,品质生活
461,80305,体育休闲服务,娱乐场所,游戏厅,Sports & Recreation,Recreation Center,Game Center,0.6,普通娱乐
462,80306,体育休闲服务,娱乐场所,棋牌室,Sports & Recreation,Recreation Center,Card & Chess Room,0.6,普通娱乐
463,80307,体育休闲服务,娱乐场所,博彩中心,Sports & Recreation,Recreation Center,Lottery Center,0.4,潜在负面
464,80308,体育休闲服务,娱乐场所,网吧,Sports & Recreation,Recreation Center,Internet Bar,0.5,普通设施
465,80400,体育休闲服务,度假疗养场所,度假疗养场所,Sports & Recreation,Holiday & Nursing Resort,Holiday & Nursing Resort,0.7,品质生活
466,80401,体育休闲服务,度假疗养场所,度假村,Sports & Recreation,Holiday & Nursing Resort,Resort,0.75,优质设施
467,80402,体育休闲服务,度假疗养场所,疗养院,Sports & Recreation,Holiday & Nursing Resort,Nursing Home,0.6,专业设施
468,80500,体育休闲服务,休闲场所,休闲场所,Sports & Recreation,Recreation Place,Recreation Place,0.75,品质生活
469,80501,体育休闲服务,休闲场所,游乐场,Sports & Recreation,Recreation Place,Amusement Park,0.8,核心设施
470,80502,体育休闲服务,休闲场所,垂钓园,Sports & Recreation,Recreation Place,Fishing Spot,0.7,特色设施
471,80503,体育休闲服务,休闲场所,采摘园,Sports & Recreation,Recreation Place,Plucking Park,0.7,特色设施
472,80504,体育休闲服务,休闲场所,露营地,Sports & Recreation,Recreation Place,Camping Site,0.65,特色设施
473,80505,体育休闲服务,休闲场所,水上活动中心,Sports & Recreation,Recreation Place,Water Sports Centre,0.75,优质设施
474,80600,体育休闲服务,影剧院,影剧院相关,Sports & Recreation,Theatre & Cinema,Theatre & Cinema Related,0.8,文化设施
475,80601,体育休闲服务,影剧院,电影院,Sports & Recreation,Theatre & Cinema,Cinema,0.85,核心设施
476,80602,体育休闲服务,影剧院,音乐厅,Sports & Recreation,Theatre & Cinema,Concert Hall,0.8,文化设施
477,80603,体育休闲服务,影剧院,剧场,Sports & Recreation,Theatre & Cinema,Theatre,0.8,文化设施
478,90000,医疗保健服务,医疗保健服务场所,医疗保健服务场所,Medical Service,Medical and Health Care Service Place,Medical and Health Care Service Place,0.85,核心资源
479,90100,医疗保健服务,综合医院,综合医院,Medical Service,Hospital,Hospital,0.9,核心资源
480,90101,医疗保健服务,综合医院,三级甲等医院,Medical Service,Hospital,AAA Class Hospital,0.95,优质资源
481,90102,医疗保健服务,综合医院,卫生院,Medical Service,Hospital,Health Center,0.8,基础资源
482,90200,医疗保健服务,专科医院,专科医院,Medical Service,Special Hospital,Special Hospital,0.85,专业资源
483,90201,医疗保健服务,专科医院,整形美容,Medical Service,Special Hospital,Plastic Surgery,0.7,专业服务
484,90202,医疗保健服务,专科医院,口腔医院,Medical Service,Special Hospital,Stomatological Hospital,0.8,专业资源
485,90203,医疗保健服务,专科医院,眼科医院,Medical Service,Special Hospital,Ophthalmology Hospital,0.8,专业资源
486,90204,医疗保健服务,专科医院,耳鼻喉医院,Medical Service,Special Hospital,ENT Hospital,0.8,专业资源
487,90205,医疗保健服务,专科医院,胸科医院,Medical Service,Special Hospital,Chest Hospital,0.85,专业资源
488,90206,医疗保健服务,专科医院,骨科医院,Medical Service,Special Hospital,Orthopedic Hospital,0.85,专业资源
489,90207,医疗保健服务,专科医院,肿瘤医院,Medical Service,Special Hospital,Tumor Hospital,0.85,专业资源
490,90208,医疗保健服务,专科医院,脑科医院,Medical Service,Special Hospital,Brain Hospital,0.85,专业资源
491,90209,医疗保健服务,专科医院,妇科医院,Medical Service,Special Hospital,Maternity Hospital,0.85,专业资源
492,90210,医疗保健服务,专科医院,精神病医院,Medical Service,Special Hospital,Psychiatric Hospital,0.7,特殊资源
493,90211,医疗保健服务,专科医院,传染病医院,Medical Service,Special Hospital,Infectious Disease Hospital,0.7,特殊资源
494,90300,医疗保健服务,诊所,诊所,Medical Service,Clinic,Clinic,0.8,便利资源
495,90400,医疗保健服务,急救中心,急救中心,Medical Service,Emergency Center,Emergency Center,0.9,核心资源
496,90500,医疗保健服务,疾病预防机构,疾病预防,Medical Service,Disease Prevention Institution,Disease Prevention,0.8,专业资源
497,90600,医疗保健服务,医药保健销售店,医药保健相关,Medical Service,Pharmacy,Medicine Health Care Related,0.75,便利资源
498,90601,医疗保健服务,医药保健销售店,药房,Medical Service,Pharmacy,Pharmacy,0.8,高频需求
499,90602,医疗保健服务,医药保健销售店,医疗保健用品,Medical Service,Pharmacy,Medical Supplies,0.75,便利资源
500,90700,医疗保健服务,动物医疗场所,动物医疗场所,Medical Service,Veterinary Hospital,Veterinary Hospital,0.7,宠物需求
501,90701,医疗保健服务,动物医疗场所,宠物诊所,Medical Service,Veterinary Hospital,Pet Clinic,0.75,宠物服务
502,90702,医疗保健服务,动物医疗场所,兽医站,Medical Service,Veterinary Hospital,Veterinary Station,0.65,专业服务
503,90800,医疗保健服务,核酸检测,核酸检测,Medical Service,COVID-19 Test,COVID-19 Test,0.7,特殊时期需求
504,100000,住宿服务,住宿服务相关,住宿服务相关,Accommodation Service,Accommodation Service Related,Accommodation Service Related,0.29,低频需求
505,100100,住宿服务,宾馆酒店,宾馆酒店,Accommodation Service,Hotel,Hotel,0.29,便利设施
506,100101,住宿服务,宾馆酒店,奢华酒店,Accommodation Service,Hotel,Luxury Hotel,0.29,高端设施
507,100102,住宿服务,宾馆酒店,五星级宾馆,Accommodation Service,Hotel,Five-star Hotel,0.29,高端设施
508,100103,住宿服务,宾馆酒店,四星级宾馆,Accommodation Service,Hotel,Four-star Hotel,0.29,品质设施
509,100104,住宿服务,宾馆酒店,三星级宾馆,Accommodation Service,Hotel,Three-star Hotel,0.29,普通设施
510,100105,住宿服务,宾馆酒店,经济型连锁酒店,Accommodation Service,Hotel,Economical Chain Hotel,0.29,便利设施
511,100200,住宿服务,旅馆招待所,旅馆招待所,Accommodation Service,Hostel,Hostel,0.29,基础设施
512,100201,住宿服务,旅馆招待所,青年旅舍,Accommodation Service,Hostel,Youth Hostel,0.29,特色设施
513,110000,风景名胜,风景名胜相关,旅游景点,Tourist Attraction,Tourist Attraction Related,Tourist Attraction,0.85,环境价值
514,110100,风景名胜,公园广场,公园广场,Tourist Attraction,Park & Square,Park & Square,0.9,核心环境
515,110101,风景名胜,公园广场,公园,Tourist Attraction,Park & Square,Park,0.9,优质环境
516,110102,风景名胜,公园广场,动物园,Tourist Attraction,Park & Square,Zoo,0.85,优质环境
517,110103,风景名胜,公园广场,植物园,Tourist Attraction,Park & Square,Botanical Garden,0.85,优质环境
518,110104,风景名胜,公园广场,水族馆,Tourist Attraction,Park & Square,Aquarium,0.85,优质环境
519,110105,风景名胜,公园广场,城市广场,Tourist Attraction,Park & Square,City Plaza,0.8,公共空间
520,110106,风景名胜,公园广场,公园内部设施,Tourist Attraction,Park & Plaza,Facilities within the park,0.75,配套设施
521,110200,风景名胜,风景名胜,风景名胜,Tourist Attraction,Scenery Spot,Scenery Spot,0.9,优质环境
522,110201,风景名胜,风景名胜,世界遗产,Tourist Attraction,Scenery Spot,World Heritage,0.95,顶级环境
523,110202,风景名胜,风景名胜,国家级景点,Tourist Attraction,Scenery Spot,National View Spot,0.9,优质环境
524,110203,风景名胜,风景名胜,省级景点,Tourist Attraction,Scenery Spot,Provincial View Spot,0.85,良好环境
525,110204,风景名胜,风景名胜,纪念馆,Tourist Attraction,Scenery Spot,Memorial Hall,0.8,文化资源
526,110205,风景名胜,风景名胜,寺庙道观,Tourist Attraction,Scenery Spot,Buddhist & Taoist Temple,0.75,文化资源
527,110206,风景名胜,风景名胜,教堂,Tourist Attraction,Scenery Spot,Church,0.75,文化资源
528,110207,风景名胜,风景名胜,回教寺,Tourist Attraction,Scenery Spot,Mosque,0.75,文化资源
529,110208,风景名胜,风景名胜,海滩,Tourist Attraction,Scenery Spot,Beach,0.9,优质环境
530,110209,风景名胜,风景名胜,观景点,Tourist Attraction,Scenery Spot,View Point,0.85,环境价值
531,110210,风景名胜,风景名胜,红色景区,Tourist Attraction,Scenery Spot,Red scenic spot,0.8,文化资源
532,120000,商务住宅,商务住宅相关,商务住宅相关,Commercial House,Commercial House Related,Commercial House Related,0,不评价
533,120100,商务住宅,产业园区,产业园区,Commercial House,Industrial Park,Industrial Park,-0.3,潜在噪音
534,120200,商务住宅,楼宇,楼宇相关,Commercial House,Building,Building Related,0,不评价
535,120201,商务住宅,楼宇,商务写字楼,Commercial House,Building,Business Office Building,0,不评价
536,120202,商务住宅,楼宇,工业大厦建筑物,Commercial House,Building,Industrial Building,-0.4,潜在噪音
537,120203,商务住宅,楼宇,商住两用楼宇,Commercial House,Building,Commercial-residential Building,0,不评价
538,120300,商务住宅,住宅区,住宅区,Commercial House,Residential Area,Residential Area,0,不评价
539,120301,商务住宅,住宅区,别墅,Commercial House,Residential Area,Villa,0,不评价
540,120302,商务住宅,住宅区,住宅小区,Commercial House,Residential Area,Residential Quarter,0,不评价
541,120303,商务住宅,住宅区,宿舍,Commercial House,Residential Area,Dormitory,0,不评价
542,120304,商务住宅,住宅区,社区中心,Commercial House,Residential Area,Community Center,0,不评价
543,130000,政府机构及社会团体,政府及社会团体相关,政府及社会团体相关,Governmental Organization & Social Group,Governmental & Social Groups Related,Governmental & Social Groups Related,0,不评价
544,130100,政府机构及社会团体,政府机关,政府机关相关,Governmental Organization & Social Group,Governmental Organization,Governmental Organization Related,0,不评价
545,130101,政府机构及社会团体,政府机关,国家级机关及事业单位,Governmental Organization & Social Group,Governmental Organization,State Level Organization & Institution,0,不评价
546,130102,政府机构及社会团体,政府机关,省直辖市级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Provincial Level Government and Institution,0,不评价
547,130103,政府机构及社会团体,政府机关,地市级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Prefecture Level Government and Institution,0,不评价
548,130104,政府机构及社会团体,政府机关,区县级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,District & County Level Government and Institution,0,不评价
549,130105,政府机构及社会团体,政府机关,乡镇级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Town Level Government and Institution,0,不评价
550,130106,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,Governmental Organization & Social Group,Governmental Organization,Below Town level Government and Institution,0,不评价
551,130107,政府机构及社会团体,政府机关,外地政府办,Governmental Organization & Social Group,Governmental Organization,Non-local Government Representative Office,0,不评价
552,130200,政府机构及社会团体,外国机构,外国机构相关,Governmental Organization & Social Group,Foreign Organization,Foreign Organization Related,0,不评价
553,130201,政府机构及社会团体,外国机构,外国使领馆,Governmental Organization & Social Group,Foreign Organization,Foreign Embassy and Consulate,0,不评价
554,130202,政府机构及社会团体,外国机构,国际组织办事处,Governmental Organization & Social Group,Foreign Organization,Representative Office of International Organization,0,不评价
555,130300,政府机构及社会团体,民主党派,民主党派,Governmental Organization & Social Group,Democratic Party,Democratic Party,0,不评价
556,130400,政府机构及社会团体,社会团体,社会团体相关,Governmental Organization & Social Group,Social Group,Social Group Related,0,不评价
557,130401,政府机构及社会团体,社会团体,共青团,Governmental Organization & Social Group,Social Group,Communist Youth League,0,不评价
558,130402,政府机构及社会团体,社会团体,少先队,Governmental Organization & Social Group,Social Group,Young Pioneer,0,不评价
559,130403,政府机构及社会团体,社会团体,妇联,Governmental Organization & Social Group,Social Group,Women's Federation,0,不评价
560,130404,政府机构及社会团体,社会团体,残联,Governmental Organization & Social Group,Social Group,Disabled Persons' Federation,0,不评价
561,130405,政府机构及社会团体,社会团体,红十字会,Governmental Organization & Social Group,Social Group,Red Cross,0,不评价
562,130406,政府机构及社会团体,社会团体,消费者协会,Governmental Organization & Social Group,Social Group,Consumers' Association,0,不评价
563,130407,政府机构及社会团体,社会团体,行业协会,Governmental Organization & Social Group,Social Group,Industry Association,0,不评价
564,130408,政府机构及社会团体,社会团体,慈善机构,Governmental Organization & Social Group,Social Group,Charity Organizations,0,不评价
565,130409,政府机构及社会团体,社会团体,教会,Governmental Organization & Social Group,Social Group,Church,0,不评价
566,130500,政府机构及社会团体,公检法机构,公检法机关,Governmental Organization & Social Group,Public Security Organization,Public Security Organization,0,不评价
567,130501,政府机构及社会团体,公检法机构,公安警察,Governmental Organization & Social Group,Public Security Organization,Police Station,0,不评价
568,130502,政府机构及社会团体,公检法机构,检察院,Governmental Organization & Social Group,Public Security Organization,Procuratorate,0,不评价
569,130503,政府机构及社会团体,公检法机构,法院,Governmental Organization & Social Group,Public Security Organization,Court,0,不评价
570,130504,政府机构及社会团体,公检法机构,消防机关,Governmental Organization & Social Group,Public Security Organization,Fire Fighting Organization,0,不评价
571,130505,政府机构及社会团体,公检法机构,公证鉴定机构,Governmental Organization & Social Group,Public Security Organization,Notarial Survey Organization,0,不评价
572,130506,政府机构及社会团体,公检法机构,社会治安机构,Governmental Organization & Social Group,Public Security Organization,Social Security Organization,0,不评价
573,130600,政府机构及社会团体,交通车辆管理,交通车辆管理相关,Governmental Organization & Social Group,Traffic Vehicle Management,Traffic Vehicle Management Related,0,不评价
574,130601,政府机构及社会团体,交通车辆管理,交通管理机构,Governmental Organization & Social Group,Traffic Vehicle Management,Traffic Management Authority,0,不评价
575,130602,政府机构及社会团体,交通车辆管理,车辆管理机构,Governmental Organization & Social Group,Traffic Vehicle Management,Vehicle Management Authority,0,不评价
576,130603,政府机构及社会团体,交通车辆管理,验车场,Governmental Organization & Social Group,Traffic Vehicle Management,Vehicle Assessment Service,0,不评价
577,130604,政府机构及社会团体,交通车辆管理,交通执法站,Governmental Organization & Social Group,Traffic Vehicle Management,Traffic Management Station,0,不评价
578,130605,政府机构及社会团体,交通车辆管理,车辆通行证办理处,Governmental Organization & Social Group,Traffic Vehicle Management,Vehicle Pass Card Office,0,不评价
579,130606,政府机构及社会团体,交通车辆管理,货车相关检查站,Governmental Organization & Social Group,Traffic Vehicle Management,Truck Related Checkpoints,0,不评价
580,130700,政府机构及社会团体,工商税务机构,工商税务机构,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,Industrial and Commercial Taxation Institution,0,不评价
581,130701,政府机构及社会团体,工商税务机构,工商部门,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,Administration for Industry & Commerce,0,不评价
582,130702,政府机构及社会团体,工商税务机构,国税机关,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,State Tax Authority,0,不评价
583,130703,政府机构及社会团体,工商税务机构,地税机关,Governmental Organization & Social Group,Industrial and Commercial Taxation Institution,Local Tax Authority,0,不评价
584,140000,科教文化服务,科教文化场所,科教文化场所,Science/Culture & Education Service,Science & Education Cultural Place,Science & Education Cultural Place,0.85,核心资源
585,140100,科教文化服务,博物馆,博物馆,Science/Culture & Education Service,Museum,Museum,0.9,文化资源
586,140101,科教文化服务,博物馆,奥迪博物馆,Science/Culture & Education Service,Museum,Audi Museum,0.85,特色资源
587,140102,科教文化服务,博物馆,梅赛德斯-奔驰博物馆,Science/Culture & Education Service,Museum,Mercedes-Benz Museum,0.85,特色资源
588,140200,科教文化服务,展览馆,展览馆,Science/Culture & Education Service,Exhibition Hall,Exhibition Hall,0.8,文化资源
589,140201,科教文化服务,展览馆,室内展位,Science/Culture & Education Service,Exhibition Hall,Indoor Booth,0.75,普通设施
590,140300,科教文化服务,会展中心,会展中心,Science/Culture & Education Service,Convention & Exhibition Center,Convention & Exhibition Center,0.85,核心设施
591,140400,科教文化服务,美术馆,美术馆,Science/Culture & Education Service,Art Gallery,Art Gallery,0.85,文化资源
592,140500,科教文化服务,图书馆,图书馆,Science/Culture & Education Service,Library,Library,0.9,核心资源
593,140600,科教文化服务,科技馆,科技馆,Science/Culture & Education Service,Science & Technology Museum,Science & Technology Museum,0.85,教育资源
594,140700,科教文化服务,天文馆,天文馆,Science/Culture & Education Service,Planetarium,Planetarium,0.85,教育资源
595,140800,科教文化服务,文化宫,文化宫,Science/Culture & Education Service,Cultural Palace,Cultural Palace,0.85,文化资源
596,140900,科教文化服务,档案馆,档案馆,Science/Culture & Education Service,Archives Hall,Archives Hall,0.8,文化资源
597,141000,科教文化服务,文艺团体,文艺团体,Science/Culture & Education Service,Arts Organization,Arts Organization,0.8,文化资源
598,141100,科教文化服务,传媒机构,传媒机构,Science/Culture & Education Service,Media Organization,Media Organization,0,不评价
599,141101,科教文化服务,传媒机构,电视台,Science/Culture & Education Service,Media Organization,TV Station,0,不评价
600,141102,科教文化服务,传媒机构,电台,Science/Culture & Education Service,Media Organization,Radio Station,0,不评价
601,141103,科教文化服务,传媒机构,报社,Science/Culture & Education Service,Media Organization,Newspaper Office,0,不评价
602,141104,科教文化服务,传媒机构,杂志社,Science/Culture & Education Service,Media Organization,Journal Publisher,0,不评价
603,141105,科教文化服务,传媒机构,出版社,Science/Culture & Education Service,Media Organization,Publishing House,0,不评价
604,141200,科教文化服务,学校,学校,Science/Culture & Education Service,School,School,0.95,核心资源
605,141201,科教文化服务,学校,高等院校,Science/Culture & Education Service,School,University & College,0.9,重要资源
606,141202,科教文化服务,学校,中学,Science/Culture & Education Service,School,Middle School,0.95,核心资源
607,141203,科教文化服务,学校,小学,Science/Culture & Education Service,School,Elementary School,0.95,核心资源
608,141204,科教文化服务,学校,幼儿园,Science/Culture & Education Service,School,Kindergarten,0.9,重要资源
609,141205,科教文化服务,学校,成人教育,Science/Culture & Education Service,School,Adult Education,0.8,教育资源
610,141206,科教文化服务,学校,职业技术学校,Science/Culture & Education Service,School,Vocational Technical School,0.8,教育资源
611,141207,科教文化服务,学校,学校内部设施,Culture & Education,School,Facilities within the School,0,不评价
612,141300,科教文化服务,科研机构,科研机构,Science/Culture & Education Service,Research Institution,Research Institution,0.85,专业资源
613,141400,科教文化服务,培训机构,培训机构,Science/Culture & Education Service,Training Institution,Training Institution,0.8,教育资源
614,141500,科教文化服务,驾校,驾校,Science/Culture & Education Service,Driving School,Driving School,0.7,专业需求
615,150000,交通设施服务,交通服务相关,交通服务相关,Transportation Service,Transportation Service Related,Transportation Service Related,0.75,便利性
616,150100,交通设施服务,机场相关,机场相关,Transportation Service,Airport Related,Airport Related,0.6,特殊场景
617,150101,交通设施服务,机场相关,候机室,Transportation Service,Airport Related,Departure Lounge,0,内部设施
618,150102,交通设施服务,机场相关,摆渡车站,Transportation Service,Airport Related,The Ferry Station,0,内部设施
619,150104,交通设施服务,机场相关,飞机场,Transportation Service,Airport Related,Airport,0.7,特殊场景
620,150105,交通设施服务,机场相关,机场出发/到达,Transportation Service,Airport Related,Airport Departure/Arrival,0,内部设施
621,150106,交通设施服务,机场相关,直升机场,Transportation Service,Airport Related,Heliport,0.6,特殊场景
622,150107,交通设施服务,机场相关,机场货运处,Transportation Service,Airport Related,Airport Freight Station,0,内部设施
623,150200,交通设施服务,火车站,火车站,Transportation Service,Railway Station,Railway Station,0.75,核心交通
624,150201,交通设施服务,火车站,候车室,Transportation Service,Railway Station,Waiting Room,0,内部设施
625,150202,交通设施服务,火车站,进站口/检票口,Transportation Service,Railway Station,Ticket Entrance,0,内部设施
626,150203,交通设施服务,火车站,出站口,Transportation Service,Railway Station,Exit,0,内部设施
627,150204,交通设施服务,火车站,站台,Transportation Service,Railway Station,Platform,0,内部设施
628,150205,交通设施服务,火车站,售票,Transportation Service,Railway Station,Sell Ticket,0,内部设施
629,150206,交通设施服务,火车站,退票,Transportation Service,Railway Station,Get a Refund for a Ticket,0,内部设施
630,150207,交通设施服务,火车站,改签,Transportation Service,Railway Station,Endorse the Ticket,0,内部设施
631,150208,交通设施服务,火车站,公安制证,Transportation Service,Railway Station,Public Security Accreditation,0,内部设施
632,150209,交通设施服务,火车站,票务相关,Transportation Service,Railway Station,Ticket Business Correlation,0,内部设施
633,150210,交通设施服务,火车站,货运火车站,Transportation Service,Railway Station,Freight Railway Station,-0.4,潜在噪音
634,150300,交通设施服务,港口码头,港口码头,Transportation Service,Port & Marina,Port & Marina,0.6,特殊场景
635,150301,交通设施服务,港口码头,客运港,Transportation Service,Port & Marina,Passenger Port,0.7,交通枢纽
636,150302,交通设施服务,港口码头,车渡口,Transportation Service,Port & Marina,Ferry Terminal for Vehicle,0.6,特殊场景
637,150303,交通设施服务,港口码头,人渡口,Transportation Service,Port & Marina,Ferry Terminal,0.65,交通设施
638,150304,交通设施服务,港口码头,货运港口码头,Transportation Service,Port & Marina,Freight Ports,-0.3,潜在噪音
639,150305,交通设施服务,港口码头,进港,Transportation Service,Port & Marina,Enter Port,0,内部设施
640,150306,交通设施服务,港口码头,出港,Transportation Service,Port & Marina,Leave Port,0,内部设施
641,150307,交通设施服务,港口码头,候船室,Transportation Service,Port & Marina,Waiting Hall,0,内部设施
642,150400,交通设施服务,长途汽车站,长途汽车站,Transportation Service,Coach Station,Coach Station,0.75,核心交通
643,150401,交通设施服务,长途汽车站,进站,Transportation Service,Coach Station,Way In,0,内部设施
644,150402,交通设施服务,长途汽车站,出站,Transportation Service,Coach Station,Way Out,0,内部设施
645,150403,交通设施服务,长途汽车站,候车室,Transportation Service,Coach Station,Waiting Room,0,内部设施
646,150500,交通设施服务,地铁站,地铁站,Transportation Service,Subway Station,Subway Station,0.9,核心交通
647,150501,交通设施服务,地铁站,出入口,Transportation Service,Subway Station,Exit,0,内部设施
648,150600,交通设施服务,轻轨站,轻轨站,Transportation Service,Light Rail Station,Light Rail Station,0.85,优质交通
649,150700,交通设施服务,公交车站,公交车站相关,Transportation Service,Bus Station,Bus Station Related,0.8,高频交通
650,150701,交通设施服务,公交车站,旅游专线车站,Transportation Service,Bus Station,Tourist Routes Bus Station,0.75,特色交通
651,150702,交通设施服务,公交车站,普通公交站,Transportation Service,Bus Station,Common Bus Station,0.8,高频交通
652,150703,交通设施服务,公交车站,机场巴士,Transportation Service,Bus Station,Airport Bus,0.75,特殊线路
653,150704,交通设施服务,公交车站,快速公交站,Transportation Service,Bus Station,BRT,0.85,优质交通
654,150705,交通设施服务,公交车站,电车站,Transportation Service,Bus Station,Tram,0.8,优质交通
655,150706,交通设施服务,公交车站,智轨车站,Transportation Service,Bus Station,ART,0.8,新兴交通
656,150800,交通设施服务,班车站,班车站,Transportation Service,Commuter Bus Station,Commuter Bus Station,0.75,通勤交通
657,150900,交通设施服务,停车场,停车场相关,Transportation Service,Parking Lot,Parking Lot Related,0.75,便利设施
658,150903,交通设施服务,停车场,换乘停车场,Transportation Service,Parking Lot,Park-and-Ride Place,0.8,便利设施
659,150904,交通设施服务,停车场,公共停车场,Transportation Service,Parking Lot,Public Parking Lot,0.8,便利设施
660,150905,交通设施服务,停车场,专用停车场,Transportation Service,Parking Lot,Reserved Parking Lot,0.7,特殊需求
661,150906,交通设施服务,停车场,路边停车场,Transportation Service,Parking Lot,Roadside Parking Lot,0.7,便利设施
662,150907,交通设施服务,停车场,停车场入口,Transportation Service,Parking Lot,Parking Lot Entrance,0,内部设施
663,150908,交通设施服务,停车场,停车场出口,Transportation Service,Parking Lot,Parking Lot Exit,0,内部设施
664,150909,交通设施服务,停车场,停车场出入口,Transportation Service,Parking Lot,Parking Lot Entrance & Exit,0,内部设施
665,151000,交通设施服务,过境口岸,过境口岸,Transportation Service,Border Crossing,Border Crossing,0.6,特殊场景
666,151001,交通设施服务,过境口岸,旅检楼,Transportation Service,Border Crossing,Travel inspection building,0,内部设施
667,151002,交通设施服务,过境口岸,出境,Transportation Service,Border Crossing,depart,0,内部设施
668,151003,交通设施服务,过境口岸,入境,Transportation Service,Border Crossing,Immigration,0,内部设施
669,151100,交通设施服务,出租车,出租车,Transportation Service,Taxi,Taxi,0.75,便利交通
670,151200,交通设施服务,轮渡站,轮渡站,Transportation Service,Ferry Station,Ferry Station,0.7,特殊交通
671,151300,交通设施服务,索道站,索道站,Transportation Service,Ropeway Station,Ropeway Station,0.7,特色交通
672,151400,交通设施服务,上下客区,上下客区,Transportation Service,Loading & Unloading Area,Loading & Unloading Area,0.7,便利设施
673,151401,交通设施服务,上下客区,自驾车,Transportation Service,Loading & Unloading Area,Self Driving,0.7,便利设施
674,151402,交通设施服务,上下客区,出租车,Transportation Service,Loading & Unloading Area,Taxi,0.75,便利设施
675,151403,交通设施服务,上下客区,大巴车,Transportation Service,Loading & Unloading Area,Bus,0.7,便利设施
676,151404,交通设施服务,上下客区,网约车,Transportation Service,Loading & Unloading Area,Online Car Hailing,0.75,便利设施
677,151405,交通设施服务,上下客区,摩托车,Transportation Service,Loading & Unloading Area,Motorcycle,0.65,普通设施
678,160000,金融保险服务,金融保险服务机构,金融保险机构,Finance & Insurance Service,Finance & Insurance Service Institution,Finance & Insurance Institution,0.85,核心资源
679,160100,金融保险服务,银行,银行,Finance & Insurance Service,Bank,Bank,0.9,核心资源
680,160101,金融保险服务,银行,中国人民银行,Finance & Insurance Service,Bank,The People's Bank of China,0.95,顶级资源
681,160102,金融保险服务,银行,国家开发银行,Finance & Insurance Service,Bank,China Development Bank,0.9,重要资源
682,160103,金融保险服务,银行,中国进出口银行,Finance & Insurance Service,Bank,The Export-Import Bank of China,0.9,重要资源
683,160104,金融保险服务,银行,中国银行,Finance & Insurance Service,Bank,Bank of China,0.95,顶级资源
684,160105,金融保险服务,银行,中国工商银行,Finance & Insurance Service,Bank,ICBC,0.95,顶级资源
685,160106,金融保险服务,银行,中国建设银行,Finance & Insurance Service,Bank,China Construction Bank,0.95,顶级资源
686,160107,金融保险服务,银行,中国农业银行,Finance & Insurance Service,Bank,Agricultural Bank of China,0.95,顶级资源
687,160108,金融保险服务,银行,交通银行,Finance & Insurance Service,Bank,Bank of Communications,0.9,重要资源
688,160109,金融保险服务,银行,招商银行,Finance & Insurance Service,Bank,China Merchants Bank,0.9,重要资源
689,160110,金融保险服务,银行,华夏银行,Finance & Insurance Service,Bank,Huaxia Bank,0.85,优质资源
690,160111,金融保险服务,银行,中信银行,Finance & Insurance Service,Bank,China CITIC Bank,0.9,重要资源
691,160112,金融保险服务,银行,中国民生银行,Finance & Insurance Service,Bank,China Minsheng Bank,0.85,优质资源
692,160113,金融保险服务,银行,中国光大银行,Finance & Insurance Service,Bank,China Everbright Bank,0.85,优质资源
693,160114,金融保险服务,银行,上海银行,Finance & Insurance Service,Bank,Bank of Shanghai,0.85,优质资源
694,160115,金融保险服务,银行,上海浦东发展银行,Finance & Insurance Service,Bank,Shanghai Pudong Development Bank,0.85,优质资源
695,160117,金融保险服务,银行,平安银行,Finance & Insurance Service,Bank,Ping An Bank,0.9,重要资源
696,160118,金融保险服务,银行,兴业银行,Finance & Insurance Service,Bank,Industrial Bank,0.85,优质资源
697,160119,金融保险服务,银行,北京银行,Finance & Insurance Service,Bank,Bank of Beijing,0.85,优质资源
698,160120,金融保险服务,银行,广发银行,Finance & Insurance Service,Bank,CGB,0.85,优质资源
699,160121,金融保险服务,银行,农村商业银行,Finance & Insurance Service,Bank,Rural Commercial Bank,0.8,普通资源
